Rainfall_MM;Year;Statistics;Country;ISO3
68.9487;1923;Nov Average;Belgium;BEL
92.1752;1923;Dec Average;Belgium;BEL
48.5762;1924;Jan Average;Belgium;BEL
40.2745;1924;Feb Average;Belgium;BEL
49.0194;1924;Mar Average;Belgium;BEL
80.3107;1924;Apr Average;Belgium;BEL
80.9826;1924;May Average;Belgium;BEL
50.4524;1924;Jun Average;Belgium;BEL
90.3584;1924;Jul Average;Belgium;BEL
136.811;1924;Aug Average;Belgium;BEL
73.4686;1924;Sep Average;Belgium;BEL
107.232;1924;Oct Average;Belgium;BEL
50.3256;1924;Nov Average;Belgium;BEL
50.8848;1924;Dec Average;Belgium;BEL
98.9833;1925;Jan Average;Belgium;BEL
63.834;1925;Feb Average;Belgium;BEL
57.9566;1925;Mar Average;Belgium;BEL
59.9793;1925;Apr Average;Belgium;BEL
73.8756;1925;May Average;Belgium;BEL
44.2289;1925;Jun Average;Belgium;BEL
94.693;1925;Jul Average;Belgium;BEL
99.0668;1925;Aug Average;Belgium;BEL
104.674;1925;Sep Average;Belgium;BEL
78.2691;1925;Oct Average;Belgium;BEL
99.2272;1925;Nov Average;Belgium;BEL
148.294;1925;Dec Average;Belgium;BEL
65.0161;1926;Jan Average;Belgium;BEL
77.4861;1926;Feb Average;Belgium;BEL
37.2572;1926;Mar Average;Belgium;BEL
36.0758;1926;Apr Average;Belgium;BEL
94.72;1926;May Average;Belgium;BEL
69.5321;1926;Jun Average;Belgium;BEL
97.0224;1926;Jul Average;Belgium;BEL
73.1977;1926;Aug Average;Belgium;BEL
44.1743;1926;Sep Average;Belgium;BEL
150.878;1926;Oct Average;Belgium;BEL
70.907;1926;Nov Average;Belgium;BEL
47.1607;1926;Dec Average;Belgium;BEL
66.0752;1927;Jan Average;Belgium;BEL
57.0336;1927;Feb Average;Belgium;BEL
64.7192;1927;Mar Average;Belgium;BEL
64.2677;1927;Apr Average;Belgium;BEL
37.0798;1927;May Average;Belgium;BEL
101.609;1927;Jun Average;Belgium;BEL
89.9345;1927;Jul Average;Belgium;BEL
112.489;1927;Aug Average;Belgium;BEL
89.8878;1927;Sep Average;Belgium;BEL
27.465;1927;Oct Average;Belgium;BEL
73.7837;1927;Nov Average;Belgium;BEL
70.2929;1927;Dec Average;Belgium;BEL
82.4181;1928;Jan Average;Belgium;BEL
65.3957;1928;Feb Average;Belgium;BEL
30.1232;1928;Mar Average;Belgium;BEL
86.7662;1928;Apr Average;Belgium;BEL
55.3629;1928;May Average;Belgium;BEL
71.6692;1928;Jun Average;Belgium;BEL
43.9556;1928;Jul Average;Belgium;BEL
76.0795;1928;Aug Average;Belgium;BEL
33.0895;1928;Sep Average;Belgium;BEL
106.048;1928;Oct Average;Belgium;BEL
126.98;1928;Nov Average;Belgium;BEL
75.3885;1928;Dec Average;Belgium;BEL
26.7653;1929;Jan Average;Belgium;BEL
18.8412;1929;Feb Average;Belgium;BEL
5.34287;1929;Mar Average;Belgium;BEL
53.9101;1929;Apr Average;Belgium;BEL
26.3329;1929;May Average;Belgium;BEL
66.6215;1929;Jun Average;Belgium;BEL
67.078;1929;Jul Average;Belgium;BEL
34.3041;1929;Aug Average;Belgium;BEL
34.5537;1929;Sep Average;Belgium;BEL
137.374;1929;Oct Average;Belgium;BEL
87.9318;1929;Nov Average;Belgium;BEL
121.874;1929;Dec Average;Belgium;BEL
48.5486;1930;Jan Average;Belgium;BEL
23.2247;1930;Feb Average;Belgium;BEL
43.7363;1930;Mar Average;Belgium;BEL
48.6977;1930;Apr Average;Belgium;BEL
101.584;1930;May Average;Belgium;BEL
48.4645;1930;Jun Average;Belgium;BEL
170.716;1930;Jul Average;Belgium;BEL
90.3177;1930;Aug Average;Belgium;BEL
110.666;1930;Sep Average;Belgium;BEL
93.8536;1930;Oct Average;Belgium;BEL
145.242;1930;Nov Average;Belgium;BEL
52.9968;1930;Dec Average;Belgium;BEL
122.11;1931;Jan Average;Belgium;BEL
77.6718;1931;Feb Average;Belgium;BEL
15.1915;1931;Mar Average;Belgium;BEL
79.8012;1931;Apr Average;Belgium;BEL
63.3187;1931;May Average;Belgium;BEL
48.5571;1931;Jun Average;Belgium;BEL
102.551;1931;Jul Average;Belgium;BEL
142.147;1931;Aug Average;Belgium;BEL
55.0483;1931;Sep Average;Belgium;BEL
52.5255;1931;Oct Average;Belgium;BEL
42.7752;1931;Nov Average;Belgium;BEL
50.572;1931;Dec Average;Belgium;BEL
50.9828;1932;Jan Average;Belgium;BEL
14.5973;1932;Feb Average;Belgium;BEL
46.1037;1932;Mar Average;Belgium;BEL
88.9123;1932;Apr Average;Belgium;BEL
59.3542;1932;May Average;Belgium;BEL
42.0445;1932;Jun Average;Belgium;BEL
100.388;1932;Jul Average;Belgium;BEL
46.9822;1932;Aug Average;Belgium;BEL
118.579;1932;Sep Average;Belgium;BEL
198.16;1932;Oct Average;Belgium;BEL
45.2574;1932;Nov Average;Belgium;BEL
20.4713;1932;Dec Average;Belgium;BEL
28.1007;1933;Jan Average;Belgium;BEL
49.3805;1933;Feb Average;Belgium;BEL
41.9423;1933;Mar Average;Belgium;BEL
15.6086;1933;Apr Average;Belgium;BEL
94.1423;1933;May Average;Belgium;BEL
89.2906;1933;Jun Average;Belgium;BEL
58.3848;1933;Jul Average;Belgium;BEL
60.0124;1933;Aug Average;Belgium;BEL
61.9092;1933;Sep Average;Belgium;BEL
83.5309;1933;Oct Average;Belgium;BEL
50.322;1933;Nov Average;Belgium;BEL
8.16024;1933;Dec Average;Belgium;BEL
70.6461;1934;Jan Average;Belgium;BEL
10.4882;1934;Feb Average;Belgium;BEL
62.2395;1934;Mar Average;Belgium;BEL
58.2497;1934;Apr Average;Belgium;BEL
33.3806;1934;May Average;Belgium;BEL
75.0808;1934;Jun Average;Belgium;BEL
32.3553;1934;Jul Average;Belgium;BEL
55.7372;1934;Aug Average;Belgium;BEL
48.4121;1934;Sep Average;Belgium;BEL
101.501;1934;Oct Average;Belgium;BEL
43.7536;1934;Nov Average;Belgium;BEL
124.19;1934;Dec Average;Belgium;BEL
73.3979;1935;Jan Average;Belgium;BEL
93.7255;1935;Feb Average;Belgium;BEL
24.5232;1935;Mar Average;Belgium;BEL
111.295;1935;Apr Average;Belgium;BEL
50.5286;1935;May Average;Belgium;BEL
111.529;1935;Jun Average;Belgium;BEL
15.4747;1935;Jul Average;Belgium;BEL
69.9165;1935;Aug Average;Belgium;BEL
118.129;1935;Sep Average;Belgium;BEL
89.6597;1935;Oct Average;Belgium;BEL
66.2711;1935;Nov Average;Belgium;BEL
80.1933;1935;Dec Average;Belgium;BEL
109.105;1936;Jan Average;Belgium;BEL
47.3857;1936;Feb Average;Belgium;BEL
22.5173;1936;Mar Average;Belgium;BEL
76.4075;1936;Apr Average;Belgium;BEL
15.1418;1936;May Average;Belgium;BEL
83.2945;1936;Jun Average;Belgium;BEL
138.672;1936;Jul Average;Belgium;BEL
43.6957;1936;Aug Average;Belgium;BEL
83.4448;1936;Sep Average;Belgium;BEL
81.7461;1936;Oct Average;Belgium;BEL
77.808;1936;Nov Average;Belgium;BEL
52.1155;1936;Dec Average;Belgium;BEL
115.855;1937;Jan Average;Belgium;BEL
126.029;1937;Feb Average;Belgium;BEL
88.3334;1937;Mar Average;Belgium;BEL
105.117;1937;Apr Average;Belgium;BEL
75.5621;1937;May Average;Belgium;BEL
51.0799;1937;Jun Average;Belgium;BEL
50.8471;1937;Jul Average;Belgium;BEL
56.4202;1937;Aug Average;Belgium;BEL
87.0463;1937;Sep Average;Belgium;BEL
36.294;1937;Oct Average;Belgium;BEL
36.095;1937;Nov Average;Belgium;BEL
78.0597;1937;Dec Average;Belgium;BEL
141.654;1938;Jan Average;Belgium;BEL
43.1498;1938;Feb Average;Belgium;BEL
25.5109;1938;Mar Average;Belgium;BEL
27.0146;1938;Apr Average;Belgium;BEL
64.8267;1938;May Average;Belgium;BEL
29.3895;1938;Jun Average;Belgium;BEL
70.5932;1938;Jul Average;Belgium;BEL
98.6984;1938;Aug Average;Belgium;BEL
45.0989;1938;Sep Average;Belgium;BEL
88.5866;1938;Oct Average;Belgium;BEL
87.4029;1938;Nov Average;Belgium;BEL
65.1951;1938;Dec Average;Belgium;BEL
113.287;1939;Jan Average;Belgium;BEL
41.0908;1939;Feb Average;Belgium;BEL
85.7813;1939;Mar Average;Belgium;BEL
70.9218;1939;Apr Average;Belgium;BEL
40.9336;1939;May Average;Belgium;BEL
52.4499;1939;Jun Average;Belgium;BEL
84.1406;1939;Jul Average;Belgium;BEL
78.9672;1939;Aug Average;Belgium;BEL
63.5712;1939;Sep Average;Belgium;BEL
154.385;1939;Oct Average;Belgium;BEL
165.849;1939;Nov Average;Belgium;BEL
41.2849;1939;Dec Average;Belgium;BEL
40.4461;1940;Jan Average;Belgium;BEL
48.0017;1940;Feb Average;Belgium;BEL
92.2643;1940;Mar Average;Belgium;BEL
78.302;1940;Apr Average;Belgium;BEL
30.0927;1940;May Average;Belgium;BEL
61.787;1940;Jun Average;Belgium;BEL
98.162;1940;Jul Average;Belgium;BEL
52.495;1940;Aug Average;Belgium;BEL
89.624;1940;Sep Average;Belgium;BEL
34.5673;1940;Oct Average;Belgium;BEL
152.146;1940;Nov Average;Belgium;BEL
102.924;1940;Dec Average;Belgium;BEL
51.6657;1941;Jan Average;Belgium;BEL
55.4216;1941;Feb Average;Belgium;BEL
88.3831;1941;Mar Average;Belgium;BEL
30.1396;1941;Apr Average;Belgium;BEL
49.505;1941;May Average;Belgium;BEL
70.5389;1941;Jun Average;Belgium;BEL
70.7392;1941;Jul Average;Belgium;BEL
133.63;1941;Aug Average;Belgium;BEL
25.698;1941;Sep Average;Belgium;BEL
125.412;1941;Oct Average;Belgium;BEL
34.7746;1941;Nov Average;Belgium;BEL
77.6771;1941;Dec Average;Belgium;BEL
63.2695;1942;Jan Average;Belgium;BEL
32.3974;1942;Feb Average;Belgium;BEL
59.268;1942;Mar Average;Belgium;BEL
19.2657;1942;Apr Average;Belgium;BEL
90.8891;1942;May Average;Belgium;BEL
46.9629;1942;Jun Average;Belgium;BEL
160.92;1942;Jul Average;Belgium;BEL
58.5169;1942;Aug Average;Belgium;BEL
68.423;1942;Sep Average;Belgium;BEL
99.6258;1942;Oct Average;Belgium;BEL
50.7697;1942;Nov Average;Belgium;BEL
68.3946;1942;Dec Average;Belgium;BEL
94.4453;1943;Jan Average;Belgium;BEL
48.5933;1943;Feb Average;Belgium;BEL
26.7152;1943;Mar Average;Belgium;BEL
63.4379;1943;Apr Average;Belgium;BEL
69.3174;1943;May Average;Belgium;BEL
84.0404;1943;Jun Average;Belgium;BEL
67.7383;1943;Jul Average;Belgium;BEL
80.2815;1943;Aug Average;Belgium;BEL
63.1099;1943;Sep Average;Belgium;BEL
28.1652;1943;Oct Average;Belgium;BEL
123.464;1943;Nov Average;Belgium;BEL
46.9855;1943;Dec Average;Belgium;BEL
82.0316;1944;Jan Average;Belgium;BEL
50.7075;1944;Feb Average;Belgium;BEL
33.2255;1944;Mar Average;Belgium;BEL
33.6222;1944;Apr Average;Belgium;BEL
28.918;1944;May Average;Belgium;BEL
80.1033;1944;Jun Average;Belgium;BEL
82.9694;1944;Jul Average;Belgium;BEL
53.8925;1944;Aug Average;Belgium;BEL
114.102;1944;Sep Average;Belgium;BEL
114.265;1944;Oct Average;Belgium;BEL
165.556;1944;Nov Average;Belgium;BEL
87.8148;1944;Dec Average;Belgium;BEL
66.1782;1945;Jan Average;Belgium;BEL
74.9969;1945;Feb Average;Belgium;BEL
39.8808;1945;Mar Average;Belgium;BEL
55.6993;1945;Apr Average;Belgium;BEL
96.1225;1945;May Average;Belgium;BEL
55.2262;1945;Jun Average;Belgium;BEL
48.8075;1945;Jul Average;Belgium;BEL
117.558;1945;Aug Average;Belgium;BEL
87.1466;1945;Sep Average;Belgium;BEL
41.0175;1945;Oct Average;Belgium;BEL
44.3509;1945;Nov Average;Belgium;BEL
83.8415;1945;Dec Average;Belgium;BEL
71.1518;1946;Jan Average;Belgium;BEL
144.997;1946;Feb Average;Belgium;BEL
40.5623;1946;Mar Average;Belgium;BEL
48.4305;1946;Apr Average;Belgium;BEL
72.9847;1946;May Average;Belgium;BEL
94.7432;1946;Jun Average;Belgium;BEL
55.4944;1946;Jul Average;Belgium;BEL
84.0089;1946;Aug Average;Belgium;BEL
82.1773;1946;Sep Average;Belgium;BEL
55.4781;1946;Oct Average;Belgium;BEL
56.2866;1946;Nov Average;Belgium;BEL
71.6581;1946;Dec Average;Belgium;BEL
32.8563;1947;Jan Average;Belgium;BEL
29.4422;1947;Feb Average;Belgium;BEL
106.06;1947;Mar Average;Belgium;BEL
80.5699;1947;Apr Average;Belgium;BEL
51.4299;1947;May Average;Belgium;BEL
52.6655;1947;Jun Average;Belgium;BEL
85.9453;1947;Jul Average;Belgium;BEL
26.3275;1947;Aug Average;Belgium;BEL
42.6207;1947;Sep Average;Belgium;BEL
25.1295;1947;Oct Average;Belgium;BEL
102.035;1947;Nov Average;Belgium;BEL
120.696;1947;Dec Average;Belgium;BEL
149.116;1948;Jan Average;Belgium;BEL
51.3633;1948;Feb Average;Belgium;BEL
34.9656;1948;Mar Average;Belgium;BEL
84.6549;1948;Apr Average;Belgium;BEL
57.3627;1948;May Average;Belgium;BEL
97.219;1948;Jun Average;Belgium;BEL
137.333;1948;Jul Average;Belgium;BEL
103.549;1948;Aug Average;Belgium;BEL
53.1235;1948;Sep Average;Belgium;BEL
43.3436;1948;Oct Average;Belgium;BEL
48.2482;1948;Nov Average;Belgium;BEL
64.7718;1948;Dec Average;Belgium;BEL
37.3789;1949;Jan Average;Belgium;BEL
34.2122;1949;Feb Average;Belgium;BEL
49.6276;1949;Mar Average;Belgium;BEL
48.6942;1949;Apr Average;Belgium;BEL
79.6883;1949;May Average;Belgium;BEL
35.2333;1949;Jun Average;Belgium;BEL
23.2526;1949;Jul Average;Belgium;BEL
68.7238;1949;Aug Average;Belgium;BEL
68.7362;1949;Sep Average;Belgium;BEL
62.7218;1949;Oct Average;Belgium;BEL
73.5174;1949;Nov Average;Belgium;BEL
80.9854;1949;Dec Average;Belgium;BEL
58.1194;1950;Jan Average;Belgium;BEL
115.054;1950;Feb Average;Belgium;BEL
24.3699;1950;Mar Average;Belgium;BEL
90.084;1950;Apr Average;Belgium;BEL
70.8335;1950;May Average;Belgium;BEL
60.2805;1950;Jun Average;Belgium;BEL
81.5694;1950;Jul Average;Belgium;BEL
83.8841;1950;Aug Average;Belgium;BEL
104.952;1950;Sep Average;Belgium;BEL
36.5845;1950;Oct Average;Belgium;BEL
138.276;1950;Nov Average;Belgium;BEL
105.111;1950;Dec Average;Belgium;BEL
97.7356;1951;Jan Average;Belgium;BEL
53.8172;1951;Feb Average;Belgium;BEL
99.6613;1951;Mar Average;Belgium;BEL
79.092;1951;Apr Average;Belgium;BEL
78.9406;1951;May Average;Belgium;BEL
88.4862;1951;Jun Average;Belgium;BEL
71.6541;1951;Jul Average;Belgium;BEL
113.135;1951;Aug Average;Belgium;BEL
80.7093;1951;Sep Average;Belgium;BEL
22.0671;1951;Oct Average;Belgium;BEL
118.5;1951;Nov Average;Belgium;BEL
73.5898;1951;Dec Average;Belgium;BEL
132.605;1952;Jan Average;Belgium;BEL
74.2363;1952;Feb Average;Belgium;BEL
